fluorochrome	type	nm	norm_intensity	source	num
1,8-ANS	em	472	100	th	1
1,8-ANS	ex	374	100	th	1
4-Di-10-ASP	em	591	100	th	1
4-Di-10-ASP	ex	476	100	th	1
7-AAD	em	647	100	bd	1
7-AAD	ex	549	100	bd	1
7-AAD	em	647	99	bl	1
7-AAD	ex	418	14	bl	1
7-AAD	ex	549	99	bl	2
7-AAD	em	647	100	th	1
7-AAD	ex	549	100	th	1
7-hydroxy-4-methylcoumarin	em	448	100	th	1
7-hydroxy-4-methylcoumarin	ex	360	100	th	1
AMC (7-amino-4-methylcoumarin)	em	443	100	th	1
AMC (7-amino-4-methylcoumarin)	ex	346	100	th	1
APC	em	659	100	bd	1
APC	em	720	19	bd	2
APC	ex	346	14	bd	1
APC	ex	652	100	bd	2
APC	em	660	100	bl	1
APC	ex	651	100	bl	1
APC	em	660	100	th	1
APC	ex	651	100	th	1
APC-AlexaFluor700	em	698	99	bl	1
APC-AlexaFluor700	ex	622	85	bl	1
APC-AlexaFluor700	ex	657	99	bl	2
APC-AlexaFluor750	em	663	17	bl	1
APC-AlexaFluor750	em	785	100	bl	2
APC-AlexaFluor750	ex	651	89	bl	1
APC-AlexaFluor750	ex	755	100	bl	2
APC-AlexaFluor750	em	663	17	th	1
APC-AlexaFluor750	em	785	100	th	2
APC-AlexaFluor750	ex	651	89	th	1
APC-AlexaFluor750	ex	755	100	th	2
APC-C750	em	782	100	bd	1
APC-C750	ex	395	100	bd	1
APC-C750	ex	653	63	bd	2
APC-C750	ex	756	100	bd	3
APC-Cy5.5	em	701	99	bl	1
APC-Cy5.5	ex	655	99	bl	1
APC-Cy5.5	em	701	100	th	1
APC-Cy5.5	ex	655	100	th	1
APC-Cy7	em	780	100	bd	1
APC-Cy7	ex	351	14	bd	1
APC-Cy7	ex	650	84	bd	2
APC-Cy7	ex	755	100	bd	3
APC-Cy7	em	658	54	bl	1
APC-Cy7	em	774	100	bl	2
APC-Cy7	ex	357	12	bl	1
APC-Cy7	ex	651	72	bl	2
APC-Cy7	ex	753	99	bl	3
APC-Cy7	em	663	35	th	1
APC-Cy7	em	782	100	th	2
APC-Cy7	ex	364	11	th	1
APC-Cy7	ex	652	100	th	2
APC-Cy7	ex	756	96	th	3
APC-Fire750	em	783	100	bd	1
APC-Fire750	ex	354	11	bd	1
APC-Fire750	ex	651	62	bd	2
APC-Fire750	ex	756	100	bd	3
APC-Fire750	em	657	42	bl	1
APC-Fire750	em	775	100	bl	2
APC-Fire750	ex	651	57	bl	1
APC-Fire750	ex	756	100	bl	2
APC-Fire750	em	788	100	th	1
APC-Fire750	ex	652	69	th	1
APC-Fire750	ex	755	100	th	2
APC-Fire810	em	660	14	bd	1
APC-Fire810	em	815	100	bd	2
APC-Fire810	ex	344	13	bd	1
APC-Fire810	ex	370	12	bd	2
APC-Fire810	ex	650	73	bd	3
APC-Fire810	ex	788	100	bd	4
APC-Fire810	em	807	100	bl	1
APC-Fire810	ex	650	65	bl	1
APC-Fire810	ex	787	100	bl	2
APC-Fire810	em	807	100	th	1
