fluorochrome	syn
1,8-ANS	18ans
10-Acetyl-37-dihydroxyphenoxazin	10acetyl37dihydroxyphenoxazin
2-NBDG	2nbdg
3-Azido-7-hydroxycoumarin	3azido7hydroxycoumarin
4-Di-10-ASP	4di10asp
4-MUP	4mup
5 (6)-Carboxyrhodamine	56carboxyrhodamine
5 (6)-Carboxyrhodamine	56carboxyrhod
5 (6)-Carboxyrhodamine	56carboxyrham
5-CFDA	5cfda
5-FAM	5fam
5-TAMRA	5tamra
6-TAMRA	6tamra
7-AAD	7aad
7-AAD	7aminoactinomycind
7-amino-4-methylcoumarin	7amino4methylcoumarin
7-amino-4-methylcoumarin	amc
7-hydroxy-4-methylcoumarin	7hydroxy4methylcoumarin
7C	7c
AbByFluor350	abbyfluor350
AbByFluor350	abbyf350
AbByFluor405	abbyfluor405
AbByFluor405	abbyf405
AbByFluor488	abbyfluor488
AbByFluor488	abbyf488
AbByFluor555	abbyfluor555
AbByFluor555	abbyf555
AbByFluor594	abbyfluor594
AbByFluor594	abbyf594
AbByFluor647	abbyfluor647
AbByFluor647	abbyf647
AbByFluor680	abbyfluor680
AbByFluor680	abbyf680
AbByFluor750	abbyfluor750
AbByFluor750	abbyf750
ABflo405	abflo405
ABflo450	abflo450
ABflo488	abflo488
ABflo500	abflo500
ABflo532	abflo532
ABflo555	abflo555
ABflo594	abflo594
ABflo610	abflo610
ABflo647	abflo647
ABflo680	abflo680
ABflo700	abflo700
ABflo750	abflo750
AccuClear	accuclear
AccuGreenHS	accugreenhs
AccuGreenHS	accughs
AccuOrange	accuorange
AccuOrange	accuo
Aco430	aco430
Aco490	aco490
Aco600	aco600
Aco800	aco800
AcridineOrange	acridineorange
AcridineOrange	acridineo
AcridineOrange	aorange
AcridineOrange	ao
AdirondackGreen520	adirondackgreen520
AdirondackGreen520	adirondackg520
alamarBlue	alamarblue
alamarBlue	alamarb
Aldefluor	aldefluor
Aldefluor	aldef
AlexaFluor350	alexafluor350
AlexaFluor350	alexa350
AlexaFluor350	afluor350
AlexaFluor350	a350
AlexaFluor350	alexaf350
AlexaFluor350	af350
AlexaFluor405	alexafluor405
AlexaFluor405	alexa405
AlexaFluor405	afluor405
AlexaFluor405	a405
AlexaFluor405	alexaf405
AlexaFluor405	af405
AlexaFluor420	alexafluor420
AlexaFluor420	alexa420
AlexaFluor420	afluor420
AlexaFluor420	a420
AlexaFluor420	alexaf420
AlexaFluor420	af420
AlexaFluor430	alexafluor430
AlexaFluor430	alexa430
AlexaFluor430	afluor430
AlexaFluor430	a430
AlexaFluor430	alexaf430
AlexaFluor430	af430
AlexaFluor488	alexafluor488
AlexaFluor488	alexa488
AlexaFluor488	afluor488
AlexaFluor488	a488
AlexaFluor488	alexaf488
AlexaFluor488	af488
AlexaFluor514	alexafluor514
AlexaFluor514	alexa514
AlexaFluor514	afluor514
AlexaFluor514	a514
AlexaFluor514	alexaf514
AlexaFluor514	af514
AlexaFluor532	alexafluor532
AlexaFluor532	alexa532
AlexaFluor532	afluor532
AlexaFluor532	a532
AlexaFluor532	alexaf532
AlexaFluor532	af532
AlexaFluor546	alexafluor546
AlexaFluor546	alexa546
AlexaFluor546	afluor546
AlexaFluor546	a546
AlexaFluor546	alexaf546
AlexaFluor546	af546
AlexaFluor555	alexafluor555
AlexaFluor555	alexa555
AlexaFluor555	afluor555
AlexaFluor555	a555
AlexaFluor555	alexaf555
AlexaFluor555	af555
AlexaFluor561	alexafluor561
AlexaFluor561	alexa561
AlexaFluor561	afluor561
AlexaFluor561	a561
AlexaFluor561	alexaf561
AlexaFluor561	af561
AlexaFluor568	alexafluor568
AlexaFluor568	alexa568
AlexaFluor568	afluor568
AlexaFluor568	a568
AlexaFluor568	alexaf568
AlexaFluor568	af568
AlexaFluor594	alexafluor594
AlexaFluor594	alexa594
AlexaFluor594	afluor594
AlexaFluor594	a594
AlexaFluor594	alexaf594
AlexaFluor594	af594
AlexaFluor610	alexafluor610
AlexaFluor610	alexa610
AlexaFluor610	afluor610
AlexaFluor610	a610
AlexaFluor610	alexaf610
AlexaFluor610	af610
AlexaFluor633	alexafluor633
AlexaFluor633	alexa633
AlexaFluor633	afluor633
AlexaFluor633	a633
AlexaFluor633	alexaf633
AlexaFluor633	af633
AlexaFluor635	alexafluor635
AlexaFluor635	alexa635
AlexaFluor635	afluor635
AlexaFluor635	a635
AlexaFluor635	alexaf635
AlexaFluor635	af635
AlexaFluor647	alexafluor647
AlexaFluor647	alexa647
AlexaFluor647	afluor647
AlexaFluor647	a647
AlexaFluor647	alexaf647
AlexaFluor647	af647
AlexaFluor647-PE	alexafluor647pe
AlexaFluor647-PE	alexa647pe
AlexaFluor647-PE	afluor647pe
AlexaFluor647-PE	a647pe
AlexaFluor647-PE	alexaf647pe
AlexaFluor647-PE	af647pe
AlexaFluor647-PE	alexafluor647rpe
AlexaFluor647-PE	alexa647rpe
AlexaFluor647-PE	afluor647rpe
AlexaFluor647-PE	a647rpe
AlexaFluor647-PE	alexaf647rpe
AlexaFluor647-PE	af647rpe
AlexaFluor647-PE	alexafluor647phycoerythrin
AlexaFluor647-PE	alexa647phycoerythrin
AlexaFluor647-PE	afluor647phycoerythrin
AlexaFluor647-PE	a647phycoerythrin
AlexaFluor647-PE	alexaf647phycoerythrin
AlexaFluor647-PE	af647phycoerythrin
AlexaFluor660	alexafluor660
AlexaFluor660	alexa660
AlexaFluor660	afluor660
AlexaFluor660	a660
AlexaFluor660	alexaf660
AlexaFluor660	af660
AlexaFluor680	alexafluor680
AlexaFluor680	alexa680
AlexaFluor680	afluor680
AlexaFluor680	a680
AlexaFluor680	alexaf680
AlexaFluor680	af680
AlexaFluor680-APC	alexafluor680apc
AlexaFluor680-APC	alexa680apc
AlexaFluor680-APC	afluor680apc
AlexaFluor680-APC	a680apc
AlexaFluor680-APC	alexaf680apc
AlexaFluor680-APC	af680apc
AlexaFluor680-APC	alexafluor680allophycocyanin
AlexaFluor680-APC	alexa680allophycocyanin
AlexaFluor680-APC	afluor680allophycocyanin
AlexaFluor680-APC	a680allophycocyanin
AlexaFluor680-APC	alexaf680allophycocyanin
AlexaFluor680-APC	af680allophycocyanin
AlexaFluor700	alexafluor700
AlexaFluor700	alexa700
AlexaFluor700	afluor700
AlexaFluor700	a700
AlexaFluor700	alexaf700
AlexaFluor700	af700
AlexaFluor750	alexafluor750
AlexaFluor750	alexa750
AlexaFluor750	afluor750
AlexaFluor750	a750
AlexaFluor750	alexaf750
AlexaFluor750	af750
AlexaFluor790	alexafluor790
AlexaFluor790	alexa790
AlexaFluor790	afluor790
AlexaFluor790	a790
AlexaFluor790	alexaf790
AlexaFluor790	af790
AlexaFluorPlus405	alexafluorplus405
AlexaFluorPlus405	alexaplus405
AlexaFluorPlus405	afluorplus405
AlexaFluorPlus405	aplus405
AlexaFluorPlus405	alexafplus405
AlexaFluorPlus405	afplus405
AlexaFluorPlus405	alexafluorp405
AlexaFluorPlus405	alexap405
AlexaFluorPlus405	afluorp405
AlexaFluorPlus405	ap405
AlexaFluorPlus405	alexafp405
AlexaFluorPlus405	afp405
AlexaFluorPlus488	alexafluorplus488
AlexaFluorPlus488	alexaplus488
AlexaFluorPlus488	afluorplus488
AlexaFluorPlus488	aplus488
AlexaFluorPlus488	alexafplus488
AlexaFluorPlus488	afplus488
AlexaFluorPlus488	alexafluorp488
