fluorochrome	flow_cytometry	DNA_dye	Ab_conjugate	fluorescent_protein	amine_dye
1,8-ANS	0	0	0	0	
4-Di-10-ASP	0	0	0	0	
7-AAD	1	1	0	0	
7-hydroxy-4-methylcoumarin	0	0	0	0	
AcridineOrange	0	1	0	0	
AlexaFluor350	0	0	1	0	
AlexaFluor405	1	0	1	0	
AlexaFluor420	0	0	1	0	
AlexaFluor430	0	0	1	0	
AlexaFluor488	1	0	1	0	
AlexaFluor514	0	0	1	0	
AlexaFluor532	0	0	1	0	
AlexaFluor546	0	0	1	0	
AlexaFluor555	0	0	1	0	
AlexaFluor561	0	0	1	0	
AlexaFluor568	0	0	1	0	
AlexaFluor594	1	0	1	0	
AlexaFluor610	0	0	1	0	
AlexaFluor633	0	0	1	0	
AlexaFluor635	0	0	1	0	
AlexaFluor647	1	0	1	0	
AlexaFluor647-PE	1	0	1	0	
AlexaFluor660	1	0	1	0	
AlexaFluor680	0	0	1	0	
AlexaFluor680-APC	1	0	1	0	
AlexaFluor700	1	0	1	0	
AlexaFluor750	0	0	1	0	
AlexaFluor790	0	0	1	0	
AlexaFluorPlus405	1	0	1	0	
AlexaFluorPlus488	1	0	1	0	
AlexaFluorPlus555	0	0	1	0	
AlexaFluorPlus594	1	0	1	0	
AlexaFluorPlus647	1	0	1	0	
AlexaFluorPlus680	0	0	1	0	
AlexaFluorPlus750	0	0	1	0	
AlexaFluorPlus800	0	0	1	0	
Aluora430	0	0	1	0	
Aluora488	0	0	1	0	
Aluora514	0	0	1	0	
Aluora555	0	0	1	0	
Aluora594	0	0	1	0	
Aluora647	0	0	1	0	
Aluora700	0	0	1	0	
Aluora750	0	0	1	0	
AMC (7-amino-4-methylcoumarin)	0	0	0	0	
AmCyan	0	0	0	0	
APC	1	0	1	0	
APC-AlexaFluor700	1	0	1	0	
APC-AlexaFluor750	1	0	1	0	
APC-Cy5.5	1	0	1	0	
APC-Cy7	1	0	1	0	
APC-eFluor780	1	0	1	0	
